EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,class_name,SeatComfortRating,ServiceRating,ValueRating,WifiRating
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,4,2,0
1,1,0,1,no,1,3,2,0
2,2,3,1,no,1,3,2,0
4,0,1,1,no,4,3,1,0
3,1,2,4,no,3,2,3,0
5,4,4,7,yes,5,3,5,0
0,2,1,1,no,3,3,1,0
1,1,0,1,no,1,3,1,0
1,1,0,1,no,1,4,1,0
1,1,0,1,no,2,1,1,0
1,1,0,3,no,1,1,2,0
1,1,0,1,no,1,1,1,0
0,0,2,2,no,3,3,1,0
4,3,4,7,yes,3,5,4,0
0,0,1,3,no,0,0,1,0
0,0,1,2,no,1,1,1,0
1,1,3,2,no,3,1,3,0
1,3,0,3,no,2,3,2,0
4,4,0,7,yes,3,4,4,0
1,1,0,1,no,1,1,1,0
1,3,0,1,no,2,2,1,0
1,1,1,1,no,1,1,4,2
5,5,4,ten,yes,5,5,5,0
0,0,2,1,no,2,2,1,0
3,3,1,1,no,1,4,1,0
4,3,0,8,yes,3,5,4,0
1,3,0,1,no,1,4,1,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,2,1,0
1,3,0,1,no,1,4,1,0
0,3,1,2,no,2,3,1,0
4,4,4,ten,yes,4,4,4,4
0,0,1,1,no,1,1,1,0
0,0,1,1,no,1,1,1,0
1,2,1,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
2,4,0,9,yes,4,5,3,0
1,1,0,1,no,1,2,1,0
1,2,0,3,no,1,1,2,0
0,0,1,1,no,1,1,1,0
5,5,5,ten,yes,5,5,5,0
5,5,5,ten,yes,5,5,5,5
3,3,1,1,no,2,5,1,0
1,1,0,1,no,1,4,1,0
2,3,0,6,no,1,4,4,0
1,3,0,2,no,1,3,1,0
1,3,0,1,no,1,3,1,0
1,2,0,1,no,1,1,1,0
1,2,0,1,no,1,3,1,0
0,0,1,1,no,1,1,1,0
4,5,2,9,yes,3,5,3,0
4,3,1,1,no,3,1,1,4
5,5,1,1,no,5,5,1,5
2,2,2,3,no,2,3,2,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,3,1,0
1,1,0,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,3,0,3,no,1,2,1,0
0,0,1,1,no,2,2,1,0
0,0,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
0,0,1,1,no,1,3,1,0
0,0,1,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,2,2,0
1,2,0,3,no,1,2,1,0
1,1,0,3,no,1,2,1,0
1,1,1,1,no,1,1,1,1
1,1,1,1,no,1,1,1,1
0,0,0,1,no,0,0,1,0
1,1,1,1,no,1,1,1,1
0,1,1,2,no,3,1,1,0
1,1,0,1,no,1,3,2,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,3,0,1,no,1,2,1,0
0,1,1,2,no,1,4,1,0
5,5,5,ten,yes,5,5,5,5
0,0,1,1,no,1,1,1,0
5,5,4,9,yes,5,5,5,0
0,5,4,7,yes,4,5,4,0
1,3,0,1,no,1,2,1,0
1,2,0,3,no,2,3,1,0
1,1,0,1,no,1,2,1,0
1,1,0,2,no,1,2,1,0
1,1,0,2,no,1,2,1,0
2,4,4,6,no,4,4,4,1
4,2,2,2,no,2,1,2,0
1,1,1,1,no,1,1,1,0
3,1,3,3,no,3,3,2,0
3,1,1,2,no,1,3,2,0
1,1,0,2,no,1,1,1,0
1,3,0,2,no,2,2,1,0
2,3,0,2,no,1,3,1,0
1,1,0,2,no,1,1,1,0
1,2,0,2,no,1,1,1,0
4,0,5,ten,yes,3,5,5,0
5,4,5,9,yes,4,5,4,2
4,3,3,2,no,1,2,2,0
2,1,3,4,no,2,3,2,0
0,0,1,1,no,0,0,2,0
2,2,0,1,no,1,4,1,0
1,1,0,1,no,1,1,1,0
1,3,0,1,no,2,3,1,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,2,1,0
3,0,2,4,no,4,4,3,0
4,5,5,ten,yes,5,5,5,1
3,2,1,1,no,3,4,1,3
4,4,4,ten,yes,4,5,5,4
4,3,4,8,yes,4,4,4,0
1,4,0,8,yes,5,5,5,0
2,1,0,2,no,1,2,1,0
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,2,1,0
1,1,0,1,no,1,4,1,0
1,1,1,3,no,2,1,1,0
0,1,2,1,no,1,1,3,1
3,3,4,7,yes,4,5,4,0
0,0,2,1,no,1,3,1,0
1,1,0,1,no,1,2,1,0
1,3,0,1,no,2,4,1,0
1,2,0,2,no,1,2,2,0
1,1,0,1,no,1,1,2,0
1,1,0,1,no,1,1,1,0
3,3,3,3,no,3,3,3,0
0,0,2,2,no,1,2,1,0
5,5,4,9,yes,3,5,3,5
4,4,5,9,yes,5,4,5,0
4,1,1,1,no,2,2,1,1
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,2,1,0
1,2,0,1,no,1,1,1,0
5,4,0,9,yes,3,5,4,0
1,1,0,1,no,1,1,1,0
5,5,5,ten,yes,5,5,5,0
0,1,2,2,no,1,2,2,0
3,3,1,1,no,4,3,3,1
0,0,1,1,no,0,0,1,0
0,2,1,1,no,1,3,2,0
1,1,0,1,no,1,1,1,0
1,1,0,3,no,1,2,2,0
1,2,0,1,no,1,2,1,0
2,3,0,1,no,1,4,1,0
4,2,3,3,no,3,2,1,0
0,5,1,4,no,5,4,5,0
0,0,1,1,no,1,3,1,0
0,0,2,1,no,1,2,1,0
4,0,1,1,no,4,4,1,0
1,3,0,1,no,1,3,1,0
1,1,0,5,no,3,4,3,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
3,1,1,1,no,2,1,2,2
0,2,1,1,no,2,2,1,0
0,0,1,1,no,1,0,1,0
2,1,1,1,no,1,1,1,1
5,0,5,8,yes,4,5,5,0
1,1,0,1,no,1,1,1,0
1,2,0,2,no,1,4,2,0
1,1,0,1,no,1,3,2,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,2,3,1,0
0,1,1,1,no,1,1,1,0
3,1,4,5,no,4,1,4,0
3,1,3,1,no,1,3,1,0
0,0,5,ten,yes,4,4,4,0
0,0,0,1,no,0,0,1,0
3,1,0,1,no,2,1,1,0
1,3,0,1,no,1,2,1,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
0,0,5,ten,yes,5,5,5,0
4,3,5,7,yes,3,3,5,4
0,0,1,1,no,1,1,1,0
3,3,1,1,no,3,1,2,1
0,0,1,1,no,1,4,1,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,2,1,0
3,4,0,2,no,1,4,2,0
1,2,0,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
0,5,5,ten,yes,5,5,5,0
4,4,1,2,no,1,3,1,0
3,2,3,2,no,1,3,2,0
0,2,3,5,yes,1,3,4,0
0,0,1,2,no,1,1,2,0
1,2,0,1,no,1,3,1,0
1,2,0,1,no,1,2,1,0
1,2,0,1,no,1,2,1,0
1,3,0,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
2,3,2,2,no,2,4,2,2
1,1,1,1,no,2,1,1,0
0,0,3,1,no,2,1,2,0
3,5,4,9,yes,4,4,4,0
1,2,0,1,no,1,2,1,0
1,1,0,2,no,2,2,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
2,3,5,9,yes,5,5,4,0
4,3,5,8,yes,4,4,4,0
3,1,2,2,no,3,1,2,0
5,2,5,3,no,4,4,4,0
3,1,3,1,no,3,4,1,2
3,3,0,3,no,1,4,2,0
1,1,0,2,no,2,2,1,0
1,2,0,1,no,1,2,1,0
1,3,0,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
0,0,1,1,no,3,1,1,0
3,2,1,4,no,1,4,2,3
5,5,5,ten,yes,5,5,5,5
0,0,1,1,no,0,0,1,0
1,1,1,1,no,2,3,2,0
1,1,0,1,no,1,2,1,0
1,3,0,1,no,1,4,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,3,2,0
1,1,0,1,no,1,1,1,0
0,0,1,1,no,2,2,1,0
5,4,4,9,yes,4,5,5,5
3,1,1,1,no,2,3,2,4
0,0,1,1,no,1,1,1,0
0,1,1,1,no,1,1,1,0
3,3,0,3,no,1,4,1,0
1,1,0,3,no,2,1,2,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,3,1,0
1,1,0,1,no,2,1,1,0
1,1,1,1,no,1,1,1,1
0,0,1,1,no,2,2,1,0
0,0,1,1,no,1,1,1,0
2,3,5,6,no,2,2,4,0
1,1,0,1,no,1,1,1,0
2,3,0,6,yes,5,4,4,0
1,1,0,3,no,1,3,1,0
1,5,0,5,no,2,5,3,0
1,1,0,1,no,1,3,1,0
0,1,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
1,3,1,1,no,1,3,1,1
1,1,1,1,no,1,1,1,1
4,3,0,3,no,4,1,2,0
1,3,0,2,no,1,2,1,0
1,2,0,3,no,1,1,1,0
1,2,0,3,no,1,3,1,0
4,4,1,4,no,4,4,1,2
0,3,2,2,no,3,3,2,0
3,2,2,2,no,1,3,2,0
5,4,4,8,yes,4,4,5,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,2,1,0
1,2,0,2,no,1,4,1,0
1,1,0,1,no,1,1,1,0
1,3,0,2,no,1,4,1,0
3,4,5,ten,yes,3,5,5,5
4,3,3,7,yes,4,4,4,0
5,4,4,9,yes,4,5,5,0
0,0,1,1,no,0,0,1,0
2,1,0,1,no,1,4,1,0
1,1,0,2,no,1,3,2,0
1,3,0,1,no,1,3,3,0
1,1,0,2,no,1,1,1,0
1,3,0,1,no,1,3,1,0
0,0,3,2,no,2,1,1,0
0,0,1,1,no,2,3,1,0
5,5,5,ten,yes,5,5,5,0
1,2,0,1,no,1,3,1,0
1,1,0,1,no,1,2,1,0
3,3,0,9,yes,3,5,4,0
1,1,0,1,no,1,1,1,0
1,4,0,1,no,1,1,1,0
1,3,0,6,no,1,5,2,0
3,3,2,3,no,2,3,1,3
5,5,5,ten,yes,5,5,5,1
3,3,4,7,yes,3,4,1,0
4,2,4,4,no,3,4,2,5
5,4,5,9,yes,4,5,4,0
1,3,0,3,no,1,3,2,0
1,2,0,1,no,1,2,1,0
1,1,0,1,no,1,4,2,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,3,1,0
2,3,2,2,no,4,4,3,0
3,3,2,3,no,2,2,2,3
0,0,5,ten,yes,0,0,3,0
0,0,1,1,no,0,0,1,0
2,1,1,1,no,2,1,1,0
0,1,1,1,no,2,1,2,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,1,1,0
1,1,0,1,no,1,3,1,0
4,4,3,4,no,3,3,2,0
0,1,1,1,no,1,2,1,0
4,3,4,9,yes,5,5,4,4
4,4,5,ten,yes,1,5,4,0
5,3,3,7,yes,3,3,3,1
1,1,0,1,no,1,2,1,0
1,2,0,1,no,1,1,1,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,2,1,1,0
1,2,0,1,no,1,4,1,0
1,1,0,1,no,1,2,2,0
5,0,4,8,yes,4,4,4,0
1,1,5,3,no,4,1,3,0
1,2,1,1,no,2,4,1,1
0,1,3,8,yes,3,4,3,0
4,4,1,7,yes,4,4,4,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,2,1,0
1,2,0,1,no,2,3,1,0
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,1,1,0
1,1,0,2,no,1,1,1,0
4,1,4,5,no,1,1,4,0
4,4,1,4,no,3,3,2,1
0,1,1,1,no,1,3,1,0
5,2,5,3,no,3,2,2,0
3,3,1,1,no,3,4,2,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,2,1,0
3,5,0,9,yes,4,5,5,0
1,1,0,1,no,1,3,1,0
1,2,0,1,no,1,3,2,0
1,3,0,1,no,1,1,1,0
1,1,3,3,no,3,2,1,0
0,0,1,1,no,1,1,1,0
1,2,1,3,no,4,3,3,0
3,3,2,1,no,3,3,1,0
0,0,1,1,no,0,0,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
2,3,0,1,no,2,3,1,0
1,1,0,1,no,1,1,1,0
3,3,0,2,no,1,3,1,0
1,2,0,2,no,1,3,2,0
4,4,1,1,no,3,4,1,0
5,4,4,7,yes,4,4,5,1
5,4,5,9,yes,5,5,4,0
3,2,2,2,no,1,3,2,0
1,4,0,5,no,1,3,2,0
1,1,0,2,no,1,2,1,0
1,1,0,1,no,1,3,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
4,1,2,1,no,3,1,1,1
0,0,1,1,no,0,0,1,0
0,0,1,1,no,2,1,1,0
5,5,5,ten,yes,5,5,5,5
4,5,5,ten,yes,4,5,5,4
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,1,no,1,1,1,0
1,1,0,3,no,1,2,2,0
1,3,0,2,no,1,1,1,0
3,3,0,5,no,1,4,2,0
1,1,1,1,no,1,1,1,1
0,1,1,1,no,2,1,1,0
4,2,3,3,no,1,3,2,0
4,3,3,3,no,1,3,2,0
4,5,5,8,yes,3,5,5,0
5,4,0,ten,yes,4,5,5,0
1,1,0,1,no,1,3,1,0
1,1,0,3,no,5,5,3,0
1,1,0,2,no,1,4,1,0
1,1,0,1,no,1,1,2,0
0,0,1,1,no,1,1,1,0
1,2,2,2,no,1,1,2,0
4,4,4,9,yes,4,5,4,0
3,1,2,8,no,1,1,2,1
4,3,5,9,yes,4,5,5,0
2,4,0,5,yes,2,4,3,0
1,2,0,1,no,1,2,1,0
1,2,0,1,no,1,2,1,0
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,2,1,0
3,1,1,1,no,3,2,2,0
0,0,1,1,no,1,5,1,0
0,1,1,1,no,2,1,1,0
0,1,1,1,no,1,3,1,0
4,4,4,9,yes,4,5,4,0
1,4,0,1,no,1,4,2,0
1,1,0,1,no,1,3,1,0
4,2,0,9,yes,3,4,4,0
1,1,0,1,no,1,4,2,0
1,2,0,2,no,1,1,1,0
1,1,0,3,no,1,1,2,0
1,1,1,3,no,2,1,1,0
3,0,4,1,no,3,3,1,0
2,3,2,6,yes,3,4,3,0
5,5,5,ten,yes,5,5,5,0
0,0,1,1,no,1,1,1,0
1,2,0,2,no,1,2,1,0
1,4,0,6,no,2,3,2,0
1,1,0,1,no,1,2,1,0
4,4,0,9,yes,5,4,5,0
1,1,0,2,no,1,3,2,0
3,3,4,7,yes,4,3,3,0
3,5,4,9,yes,5,4,5,0
3,0,3,2,no,1,3,2,0
0,0,1,1,no,1,1,1,0
1,2,3,6,no,2,1,3,0
4,3,0,7,yes,4,4,3,0
1,1,0,2,no,2,2,2,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,2,1,0
0,0,1,1,no,1,1,1,0
5,4,5,ten,yes,4,5,5,5
0,0,4,9,yes,4,5,4,0
0,0,2,4,no,2,3,2,0
3,2,1,1,no,3,2,2,3
1,1,0,1,no,1,1,1,0
1,2,0,1,no,1,1,2,0
1,1,0,1,no,1,2,1,0
4,4,0,9,yes,4,4,5,0
1,1,0,1,no,3,1,1,0
1,1,0,2,no,1,2,2,0
0,0,1,1,no,1,1,1,0
0,0,1,1,no,1,1,1,0
1,1,1,1,no,2,1,1,0
2,0,4,9,yes,3,4,4,0
1,1,0,1,no,1,2,1,0
1,1,0,1,no,1,1,1,0
5,3,0,2,no,1,1,2,0
1,3,0,2,no,1,3,1,0
1,1,0,1,no,1,1,1,0
3,1,2,3,no,3,3,2,0
1,1,1,1,no,1,1,1,0
0,0,5,ten,yes,4,4,5,0
1,1,0,1,no,1,2,1,0
1,2,0,1,no,1,2,2,0
1,1,0,1,no,1,1,1,0
1,1,0,2,no,1,2,3,0
2,2,3,5,no,2,3,3,0
3,3,1,6,yes,3,5,3,0
2,1,1,2,no,3,2,2,0
4,4,1,1,no,3,4,3,0
3,2,1,1,no,3,3,1,1
2,2,3,1,no,1,4,1,1
4,4,1,3,no,2,4,2,3
0,0,1,2,no,3,1,2,0
4,4,4,9,yes,5,5,5,0
0,0,1,1,no,4,3,1,0
0,0,1,3,no,0,0,2,0
5,4,3,ten,yes,4,5,5,0
5,1,2,4,no,1,3,3,0
4,4,5,9,yes,4,4,4,0
0,3,1,2,no,3,4,2,0
5,5,5,ten,yes,5,5,4,0
0,0,1,2,no,2,1,2,0
3,2,3,5,no,4,5,2,1
0,0,2,2,no,0,0,1,0
4,4,3,7,yes,3,4,3,0
2,3,1,3,no,3,5,2,0
4,5,4,8,yes,5,4,5,0
2,3,3,6,yes,3,2,3,0
2,1,4,3,yes,3,1,3,0
2,2,2,6,yes,3,4,4,3
0,0,1,2,no,2,3,1,0
4,5,3,9,yes,5,5,5,0
5,2,3,ten,yes,5,5,5,2
2,2,1,2,no,2,2,1,1
3,1,1,1,no,4,1,1,3
4,3,5,7,yes,5,3,5,0
0,1,2,1,no,1,1,1,0
0,0,1,1,no,1,1,1,0
0,0,1,2,no,2,5,1,0
5,3,1,6,yes,4,4,4,0
5,4,5,9,yes,3,5,4,3
3,3,1,1,no,2,4,1,0
0,0,1,1,no,0,0,1,0
0,0,1,1,no,2,2,1,0
0,0,0,1,no,0,0,1,0
4,5,4,ten,yes,4,4,5,3
1,1,1,1,no,2,2,1,0
5,3,5,9,yes,4,5,5,0
3,5,5,ten,yes,5,5,4,5
5,5,1,1,no,5,5,1,5
0,0,1,1,no,1,0,1,0
5,5,3,9,yes,5,4,4,0
2,1,3,3,no,1,2,3,0
5,5,5,ten,yes,5,5,4,0
5,5,5,ten,yes,5,5,4,0
5,5,5,ten,yes,5,5,5,5
0,0,1,1,no,1,1,1,0
2,2,3,7,no,3,3,3,0
1,2,1,2,no,2,3,1,0
0,0,1,1,no,1,1,1,0
3,2,1,2,no,1,2,1,1
0,0,1,1,no,2,2,1,0
5,4,5,ten,yes,4,5,4,5
0,0,1,1,no,2,1,1,0
0,1,1,1,no,1,1,1,0
1,1,2,1,no,3,3,1,1
4,5,4,1,no,4,4,4,5
1,2,2,4,no,4,2,3,1
0,0,1,1,no,1,1,1,0
1,3,1,1,no,1,3,1,1
0,0,2,1,no,1,3,1,0
0,0,5,9,yes,5,5,4,0
3,1,1,1,no,1,1,1,1
3,1,1,1,no,1,1,1,0
2,1,3,5,no,3,2,2,0
4,3,4,6,yes,4,3,3,3
3,2,1,2,no,2,2,2,0
0,2,5,ten,yes,3,5,5,0
0,0,1,1,no,1,1,1,0
4,4,5,ten,yes,3,5,4,3
1,1,1,4,no,1,1,5,1
5,5,5,ten,yes,5,5,5,5
2,1,2,3,no,3,3,3,0
5,5,5,9,yes,5,5,5,2
4,1,4,7,yes,4,4,4,0
5,1,4,8,yes,4,5,4,0
0,0,1,3,no,3,3,2,0
0,0,1,1,no,3,1,1,0
3,2,1,4,no,2,4,3,0
3,2,5,8,yes,5,5,4,0
0,2,1,1,no,1,2,1,0
0,0,1,1,no,1,0,1,0
3,3,1,1,no,3,2,3,3
0,1,1,2,no,2,1,3,0
4,5,5,ten,yes,4,5,5,0
4,5,5,9,yes,5,5,5,0
0,0,0,ten,yes,0,0,5,0
3,2,4,4,yes,4,2,5,3
0,0,1,2,no,2,1,2,1
3,3,1,1,no,3,2,1,1
3,3,1,3,no,2,3,1,2
0,0,2,2,no,0,0,2,2
0,0,1,1,no,1,2,1,0
4,2,1,1,no,1,1,1,0
2,0,1,1,no,2,3,2,0
2,2,2,3,no,2,1,2,0
0,0,0,1,no,0,0,2,0
5,0,5,ten,yes,5,5,5,5
2,2,1,1,no,2,1,1,3
0,0,1,1,no,1,1,1,0
0,0,4,1,no,3,4,1,0
0,0,2,5,yes,3,3,2,0
3,1,1,4,no,3,4,3,0
0,0,1,1,no,1,2,1,0
0,0,1,1,no,1,1,1,0
4,5,4,8,yes,4,5,5,4
3,3,1,3,no,3,3,2,3
0,0,1,1,no,1,1,1,0
1,2,2,3,no,2,5,2,0
1,1,2,1,no,1,2,1,1
0,0,1,1,no,1,1,1,0
5,4,4,9,yes,4,5,4,0
3,4,5,8,yes,3,4,4,0
3,1,3,4,no,3,1,3,2
1,1,2,1,no,1,3,1,0
2,2,2,3,no,2,4,2,0
0,5,5,ten,yes,4,5,5,0
2,2,3,4,no,3,3,2,0
1,0,2,4,no,1,2,2,0
5,5,5,ten,yes,5,5,5,5
0,5,5,ten,yes,5,5,5,0
0,0,1,1,no,1,1,1,0
3,3,1,1,no,1,2,1,2
0,0,1,1,no,1,1,1,0
3,1,2,4,no,2,2,2,4
3,2,2,6,yes,2,4,5,0
1,1,1,2,no,1,1,1,2
4,3,3,3,no,2,4,2,0
4,4,4,7,yes,4,4,4,0
3,1,3,2,no,3,1,3,0
0,2,1,1,no,1,3,3,0
4,3,4,8,yes,4,5,5,1
2,3,2,2,no,2,2,3,0
3,2,5,4,yes,3,3,2,0
1,1,1,1,no,2,2,2,1
0,0,1,1,no,3,0,1,0
1,1,1,2,no,3,3,1,1
5,4,5,9,yes,4,5,5,0
2,1,2,3,no,3,2,1,1
4,5,4,9,yes,4,5,4,0
0,0,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
4,3,1,1,no,1,3,1,3
4,5,3,9,yes,5,5,4,0
1,1,2,3,no,2,2,1,1
3,1,1,1,no,4,1,1,1
2,2,1,2,no,2,2,2,0
1,1,1,1,no,1,1,1,1
3,1,1,1,no,1,2,1,3
1,1,1,1,no,1,1,1,1
3,4,5,9,yes,3,1,5,0
3,2,1,1,no,2,3,1,3
5,5,4,ten,yes,5,5,5,0
2,2,2,1,no,2,3,3,0
2,3,1,3,no,2,3,2,0
4,1,2,3,no,4,3,2,0
0,1,1,2,no,1,1,1,0
0,0,1,1,no,1,3,1,0
1,0,1,5,yes,3,4,3,0
4,2,2,3,no,4,2,2,0
0,0,2,1,no,2,2,1,0
0,2,1,2,no,2,2,1,0
3,2,5,8,yes,5,4,4,0
0,0,1,1,no,0,0,1,0
0,2,1,1,no,2,2,1,0
1,1,2,3,no,3,2,2,1
1,3,2,5,no,4,3,2,0
0,0,2,2,no,3,2,1,0
0,0,1,1,no,1,1,1,0
0,0,1,1,no,1,1,1,0
0,4,4,5,no,4,5,3,0
0,0,1,2,no,1,1,1,0
3,1,2,1,no,1,1,2,0
0,4,5,ten,yes,4,5,5,0
4,1,3,3,no,3,1,1,3
1,1,1,1,no,1,1,1,1
4,3,4,9,yes,5,5,4,0
5,5,5,ten,yes,4,5,5,5
3,1,3,5,no,3,4,2,0
0,2,1,3,no,1,2,2,0
0,2,1,1,no,3,2,1,0
0,0,2,1,no,0,0,1,0
0,0,1,1,no,1,2,1,0
0,0,2,1,no,1,1,1,0
4,3,4,8,yes,3,3,4,0
2,0,1,7,yes,2,4,3,0
2,4,1,7,yes,2,4,3,0
4,5,3,8,yes,4,4,5,0
3,3,1,1,no,4,4,3,0
1,1,1,1,no,1,1,1,1
0,0,1,1,no,3,2,1,0
1,1,1,1,no,1,1,1,1
1,1,1,1,no,1,1,1,1
0,0,2,1,no,1,3,1,0
5,5,4,ten,yes,5,5,5,3
2,1,1,2,no,2,1,1,0
2,1,1,2,no,2,2,2,0
0,0,4,1,no,2,1,2,0
2,1,1,1,no,1,2,1,0
0,1,1,1,no,1,1,1,0
5,4,4,9,yes,4,5,3,0
0,0,1,1,no,1,1,1,0
5,2,4,8,yes,4,4,5,0
3,2,1,3,no,2,2,2,0
4,4,4,9,yes,4,5,4,0
0,0,1,1,no,1,0,1,0
3,2,2,2,no,1,2,2,0
0,4,5,ten,yes,4,4,5,0
5,5,5,ten,yes,5,5,5,0
3,4,5,9,yes,5,5,5,0
0,4,5,ten,yes,5,4,5,0
0,1,1,1,no,1,1,1,0
1,3,3,2,no,4,4,2,0
3,2,1,3,no,2,3,4,0
1,1,1,1,no,2,1,1,0
2,2,1,2,no,1,3,1,0
0,0,1,2,no,4,3,1,0
3,3,4,8,yes,2,5,4,0
1,0,3,2,no,3,3,1,2
1,1,5,4,yes,3,1,2,0
1,1,1,1,no,3,1,2,0
3,3,3,3,no,1,3,1,3
1,1,1,1,no,1,1,1,1
0,0,3,ten,yes,3,3,3,0
4,4,3,2,no,3,4,1,3
1,3,4,3,no,3,3,3,1
3,2,1,2,no,4,2,2,0
4,5,5,ten,yes,4,5,5,0
5,5,5,ten,yes,4,5,4,0
0,5,5,ten,yes,4,5,4,0
0,4,4,9,yes,3,4,4,0
1,1,1,1,no,2,1,2,1
4,3,1,1,no,2,2,1,1
0,0,1,3,no,3,3,3,0
0,0,1,3,yes,0,0,1,0
3,3,3,5,yes,2,3,1,1
5,5,5,ten,yes,4,5,4,0
5,3,5,7,yes,3,5,5,0
0,0,2,1,no,3,3,2,0
3,0,1,1,no,3,1,2,0
0,0,1,2,no,0,0,3,0
3,3,1,3,no,3,4,2,3
0,1,1,1,no,1,1,1,0
0,0,1,1,no,1,1,1,0
1,1,1,4,no,1,2,1,0
0,4,5,9,yes,4,4,5,0
3,3,2,1,no,2,4,1,0
5,5,5,9,yes,5,5,5,0
0,0,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
2,2,1,1,no,3,3,1,2
4,1,1,1,no,2,1,1,0
3,2,4,2,no,2,1,2,2
1,1,1,4,no,4,1,1,0
0,3,1,1,no,3,5,1,0
3,2,1,2,no,3,1,2,0
0,2,1,3,no,1,4,2,0
0,1,1,1,no,3,4,1,0
2,3,1,4,no,3,2,2,0
5,4,5,9,yes,4,4,4,0
0,0,3,5,no,3,3,2,0
3,4,2,8,yes,4,4,4,0
3,4,4,9,yes,4,4,4,3
4,2,1,3,no,4,4,1,0
5,4,5,ten,yes,5,5,5,0
1,0,4,5,yes,3,4,3,0
3,0,3,4,yes,1,4,3,0
3,3,3,8,yes,5,5,4,0
5,4,4,9,yes,5,5,4,0
5,5,5,ten,yes,5,5,5,0
5,5,5,ten,yes,5,5,5,0
3,4,4,7,yes,4,4,4,0
1,1,3,5,no,3,3,3,0
4,3,1,2,no,4,4,2,0
1,1,1,1,no,1,1,1,1
4,3,4,8,yes,5,4,5,0
5,4,4,9,yes,4,5,4,4
1,0,1,1,no,2,2,1,1
0,1,1,1,no,1,1,1,0
4,4,2,7,yes,3,4,4,0
0,1,1,1,no,1,1,1,0
4,3,1,5,yes,4,3,4,0
5,5,5,ten,yes,4,5,5,0
0,1,1,1,no,1,1,1,0
3,3,5,6,no,3,3,3,0
3,1,4,1,no,3,4,2,0
0,1,1,1,no,2,2,1,0
1,2,1,1,no,2,2,2,2
0,0,1,1,no,1,1,1,0
2,1,1,1,no,2,1,1,0
0,0,1,1,no,0,0,1,0
4,2,1,2,no,3,2,1,0
4,4,4,9,yes,4,4,4,0
2,1,1,2,no,2,2,3,0
3,5,2,2,yes,4,4,1,5
1,2,1,1,no,3,4,3,0
1,1,4,3,no,5,5,4,1
0,1,1,1,no,1,3,1,0
0,1,1,1,no,1,1,1,0
2,2,1,1,no,2,2,1,0
1,1,1,1,no,1,1,1,1
5,3,5,ten,yes,4,5,5,0
3,2,1,1,no,2,3,1,0
5,3,5,8,yes,4,5,4,0
3,3,2,1,no,1,1,1,0
5,5,5,9,yes,5,5,4,0
5,4,5,9,yes,4,5,5,0
2,2,1,1,no,2,3,1,0
2,0,4,8,yes,4,4,4,0
